Membership No  Date Joined  Active  
    78529      2018-6-16    yes   
    65391      2020-8-1     no    
    71330      2016-11-12   yes   
    18966      2015-6-9     no    
    31759      2020-4-17    yes   
    64801      2016-8-2     no    
    24218      2018-1-22    yes   
    46479      2016-1-11    yes   
    82676      2015-6-9     yes   
    48478      2020-3-21    yes   
    83607      2016-3-24    yes   
    47751      2020-7-25    yes   
    98460      2016-2-18    yes   
    58295      2017-12-12   no    
    24028      2018-6-14    yes   
    68686      2015-4-24    no    
    59165      2017-11-3    no    
    20321      2015-10-12   no    
    46829      2019-12-7    yes   
    84184      2018-2-10    yes   
